"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"214","MILLS","https://www.ivalor.com.br/empresas/MILS","MILS3","https://www.ivalor.com.br/empresas/acoes/MILS3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"215","MINASMAQUINA","https://www.ivalor.com.br/empresas/MMAQ","MMAQ4","https://www.ivalor.com.br/empresas/acoes/MMAQ4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"216","MMX MINER","https://www.ivalor.com.br/empresas/MMXM","MMXM3","https://www.ivalor.com.br/empresas/acoes/MMXM3","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"217","MUNDIAL","https://www.ivalor.com.br/empresas/MNDL","MNDL3","https://www.ivalor.com.br/empresas/acoes/MNDL3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"218","MINUPAR","https://www.ivalor.com.br/empresas/MNPR","MNPR3","https://www.ivalor.com.br/empresas/acoes/MNPR3","Nano Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"219","MONT ARANHA","https://www.ivalor.com.br/empresas/MOAR","MOAR3","https://www.ivalor.com.br/empresas/acoes/MOAR3","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"220","MOVIDA","https://www.ivalor.com.br/empresas/MOVI","MOVI3","https://www.ivalor.com.br/empresas/acoes/MOVI3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"221","MULTIPLUS","https://www.ivalor.com.br/empresas/MPLU","MPLU3","https://www.ivalor.com.br/empresas/acoes/MPLU3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"222","MARFRIG","https://www.ivalor.com.br/empresas/MRFG","MRFG3","https://www.ivalor.com.br/empresas/acoes/MRFG3","Mid Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"223","MRV","https://www.ivalor.com.br/empresas/MRVE","MRVE3","https://www.ivalor.com.br/empresas/acoes/MRVE3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"224","MELHOR SP","https://www.ivalor.com.br/empresas/MSPA","MSPA4","https://www.ivalor.com.br/empresas/acoes/MSPA4","Micro Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
